,game_id,home_team,away_team,posteam,defteam,game_date,drive,yards_gained,total_home_score,total_away_score,punt_blocked,first_down_rush,first_down_pass,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,interception,punt_inside_twenty,punt_in_endzone,kickoff_inside_twenty,kickoff_in_endzone,solo_tackle,tackled_for_loss,own_kickoff_recovery,rush_attempt,sack,punt_attempt,fumble,fourth_down_converted_away,interception_away,own_kickoff_recovery_away,sack_away,punt_blocked_away,punt_inside_twenty_away,punt_in_endzone_away,yards_gained_away,Pass_comp_percentage,Pass_comp_percentage_away,rush_attempt_away,third_down_converted_away,away_drive,away_first_down_rush,away_first_down_pass,away_third_down_failed,away_fourth_down_failed,away_kickoff_inside_twenty,away_kickoff_in_endzone,away_solo_tackle,away_tackled_for_loss,away_punt_attempt,away_fumble
13,2009091312,GB,CHI,GB,CHI,2009-09-13,13,228.0,21,15,0.0,4.0,8.0,4.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,37.0,4.0,0.0,22.0,4.0,6.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,352.0,0.6071428571428571,0.53125,31.0,4.0,12,4.0,12.0,11.0,2.0,0.0,2.0,44.0,5.0,4.0,0.0
14,2009091400,NE,BUF,NE,BUF,2009-09-14,9,441.0,25,23,0.0,4.0,22.0,10.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,35.0,3.0,0.0,23.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,276.0,0.75,0.6,19.0,4.0,9,5.0,10.0,6.0,0.0,0.0,3.0,20.0,2.0,4.0,3.0
15,2009091401,OAK,SD,OAK,SD,2009-09-14,11,366.0,20,24,0.0,8.0,9.0,7.0,7.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,42.0,2.0,0.0,32.0,1.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,317.0,0.4666666666666667,0.6857142857142857,23.0,5.0,11,5.0,14.0,7.0,0.0,2.0,2.0,43.0,3.0,5.0,1.0
16,2009092000,ATL,CAR,CAR,ATL,2009-09-20,9,371.0,28,20,0.0,10.0,12.0,6.0,6.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,53.0,2.0,0.0,37.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,440.0,0.8076923076923077,0.625,25.0,7.0,9,8.0,16.0,5.0,1.0,0.0,0.0,35.0,1.0,2.0,2.0
17,2009092001,DET,MIN,MIN,DET,2009-09-20,10,265.0,13,27,0.0,8.0,7.0,5.0,8.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,58.0,5.0,0.0,34.0,2.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,265.0,0.6428571428571429,0.8571428571428571,25.0,3.0,11,4.0,13.0,8.0,0.0,0.0,1.0,39.0,2.0,4.0,2.0
18,2009092008,WAS,STL,WAS,STL,2009-09-20,8,362.0,9,7,0.0,7.0,14.0,7.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,0.0,33.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,245.0,0.6388888888888888,0.5357142857142857,21.0,6.0,7,3.0,9.0,6.0,1.0,2.0,0.0,25.0,1.0,4.0,2.0
19,2009092007,TEN,HOU,HOU,TEN,2009-09-20,13,449.0,31,34,0.0,7.0,10.0,5.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,40.0,3.0,0.0,26.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,420.0,0.65625,0.6410256410256411,29.0,5.0,13,3.0,15.0,11.0,0.0,0.0,1.0,41.0,5.0,6.0,4.0
20,2009092006,PHI,NO,NO,PHI,2009-09-20,13,463.0,22,47,0.0,7.0,16.0,7.0,9.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,54.0,1.0,0.0,21.0,2.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,421.0,0.6326530612244898,0.7575757575757576,29.0,6.0,12,8.0,15.0,7.0,1.0,0.0,1.0,47.0,3.0,3.0,2.0
21,2009092005,NYJ,NE,NE,NYJ,2009-09-20,11,254.0,16,9,0.0,4.0,10.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,28.0,1.0,0.0,31.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,299.0,0.6363636363636364,0.5,20.0,5.0,11,5.0,10.0,10.0,1.0,2.0,2.0,31.0,2.0,6.0,0.0
22,2009092004,KC,OAK,OAK,KC,2009-09-20,10,409.0,10,13,0.0,10.0,13.0,5.0,10.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,62.0,3.0,0.0,38.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,166.0,0.6486486486486487,0.2916666666666667,25.0,3.0,11,3.0,6.0,10.0,0.0,0.0,0.0,36.0,0.0,7.0,1.0
